Reason,City,City & Province,,hub,Food Hub,Total,adjusted_hungry_people,,coordinate
Food & Meals,Mackenzie,"Mackenzie, BC","Mackenzie BC,",,,1,4,,"55.316024,-123.148369,""Mackenzie BC,"",""Mackenzie, BC, CA"",,MapQuest,city/town"
Food & Meals,Malahat,"Malahat, BC","Malahat BC,",,,1,10,,"48.533298,-123.550003,""Malahat BC,"",""Malahat, BC, CA"",,MapQuest,city/town"
Food & Meals,Marysville,"Marysville, BC","Marysville BC,",Kimberley-Cranbrook,Community Connections Society of Southeast BC,1,5,,"54.144851,-125.380685,""Marysville BC,"",""BC, CA"",,MapQuest,state/province"
Food & Meals,Mill Bay,"Mill Bay, BC","Mill Bay BC,",,,1,5,,"48.63628,-123.54939,""Mill Bay BC,"",""Mill Bay Place, Mill Bay, BC, CA"",,MapQuest,street"
Food & Meals,Montrose,"Montrose, BC","Montrose BC,",Lower Columbia,UWBC Stewarding,1,3,,"49.079822,-117.590592,""Montrose BC,"",""Montrose, BC, CA"",,MapQuest,city/town"
Food & Meals,Mount Currie,"Mount Currie, BC","Mount Currie BC,",North Pemberton,Sea to Sky Community Services Center- Pemberton Food Bank,1,7,,"50.330493,-122.667458,""Mount Currie BC,"",""Mt Currie, BC, CA"",,MapQuest,city/town"
Food & Meals,Granisle,"Granisle, BC","Granisle BC,",,,1,2,,"54.885554,-126.20513,""Granisle BC,"",""Granisle, BC, CA"",,MapQuest,city/town"
Food & Meals,Hazelton,"Hazelton, BC","Hazelton BC,",,,1,3,,"55.257935,-127.648723,""Hazelton BC,"",""Hazelton, BC, CA"",,MapQuest,city/town"
Food & Meals,Horsefly,"Horsefly, BC","Horsefly BC,",,,1,5,,"52.333302,-121.416603,""Horsefly BC,"",""Horsefly, BC, CA"",,MapQuest,city/town"
Food & Meals,Kitamaat Village,"Kitamaat Village, BC","Kitamaat Village BC,",,,1,5,,"54.055238,-128.653928,""Kitamaat Village BC,"",""Kitimat, BC, CA"",,MapQuest,city/town"
